Appliances	dT_out6	dT_kitchen	dRH_kitchen	dT_living	dT_laundry
271.6667	-1.2250	-0.0278	0.7286	-0.0222	-0.0708
291.6667	-0.3039	0.2944	0.8925	0.3306	1.0042
90.0000	0.1867	0.6222	-2.5878	0.7694	0.0689
318.3333	1.0033	0.3317	-1.3344	0.0867	-0.1872
118.3333	0.6944	0.0450	-0.1694	0.0556	0.3906
170.0000	0.6067	-0.0444	-0.1106	-0.1117	-0.2967
138.3333	0.4711	-0.2367	-4.4322	-1.0409	-0.6244
81.6667	-0.0056	-0.1078	0.6431	0.0638	-0.4189
81.6667	-0.6869	0.0300	1.1786	0.2176	0.1511
455.0000	-1.7286	-0.1300	1.8989	-0.2259	-0.2611
268.3333	-1.8106	0.2997	5.5431	-0.0286	-0.0833
101.6667	-0.9525	0.3914	2.0253	0.3579	0.1789
110.0000	-0.1819	0.1356	-3.5222	0.3143	0.0000
130.0000	-0.3869	0.0733	-2.5011	0.1626	-0.0122
55.0000	-0.3308	-0.1769	0.0289	-0.1368	-0.2972
63.3333	-0.2551	-0.2869	0.8533	-0.3583	-0.2211
45.0000	0.0195	-0.3400	0.2333	-0.4217	-0.1228
43.3333	-0.2558	-0.3400	0.7089	-0.3483	-0.0978
43.3333	-0.2659	-0.3361	-0.1456	-0.2811	0.0400
41.6667	-0.1815	-0.2167	-0.0711	-0.2556	0.0125
45.0000	-0.1855	-0.2186	-0.0039	-0.2272	0.0175
33.3333	-0.0407	-0.2386	0.0772	-0.2200	-0.0050
55.0000	0.1043	-0.1522	0.4400	-0.1633	-0.1150
55.0000	0.1416	-0.1078	0.3772	-0.1750	-0.0500
35.0000	0.2340	-0.1350	-0.0706	-0.1356	-0.1144
45.0000	0.7194	-0.1700	-0.1678	-0.1061	-0.1067
31.6667	1.3322	-0.1144	-0.0911	-0.0278	-0.0522
45.0000	1.4649	-0.0667	0.0258	0.1189	-0.0717
40.0000	0.9671	-0.0944	0.1231	0.0600	0.0250
40.0000	0.7565	-0.0483	0.0489	-0.0325	-0.0575
41.6667	0.5130	-0.0672	-0.0031	0.0225	-0.0225
33.3333	0.1102	-0.0778	0.0642	-0.0800	-0.0333
46.6667	-0.7591	-0.0222	-0.0733	-0.0542	-0.0917
35.0000	-1.5175	-0.1178	-0.1511	-0.1836	-0.0750
300.0000	-0.6994	-0.0722	-0.1000	-0.1500	-0.1428
195.0000	-0.5907	0.4744	0.9822	0.4515	0.1317
558.3333	-0.3376	0.6842	-0.6507	0.8368	0.7078
345.0000	-0.6621	0.3836	-1.2426	0.4832	0.8322
56.6667	-1.0090	0.0878	-1.7256	0.1162	-0.4397
45.0000	-0.8036	-0.1633	0.3778	-0.2569	-0.3819
46.6667	-0.3763	-0.2628	0.4972	-0.4131	-0.3256
45.0000	0.4028	-0.2667	-0.0606	-0.3978	-0.1008
33.3333	0.1731	-0.2811	-0.1500	-0.2950	0.0425
46.6667	0.1556	-0.2678	-0.1450	-0.2594	-0.0533
33.3333	0.2088	-0.1750	-0.0039	-0.2083	-0.0300
45.0000	-0.2256	-0.1578	0.1178	-0.1767	-0.1233
46.6667	-0.3287	-0.1444	0.5925	-0.1594	-0.0667
41.6667	0.4014	-0.0906	0.4442	-0.1311	-0.1694
41.6667	-0.2533	-0.0806	0.3711	-0.1061	-0.1006
33.3333	-0.2482	-0.1250	0.0639	-0.0961	-0.1133
45.0000	0.2212	-0.1108	-0.0314	-0.0083	-0.0889
33.3333	1.6479	0.1025	-0.0358	0.3222	-0.0556
43.3333	1.5419	0.1672	-0.2450	0.2561	-0.0222
33.3333	0.9255	0.1261	-0.2989	0.0311	0.0333
45.0000	0.7526	0.0694	-0.0328	0.0111	-0.0425
38.3333	0.1782	0.2039	0.1900	0.2083	0.0758
41.6667	-0.3939	0.0500	0.0600	0.0628	-0.0222
71.6667	-1.7330	-0.1133	-0.4989	-0.1783	-0.0444
175.0000	-1.4841	-0.1544	-0.5433	-0.2383	-0.2472
353.3333	-0.8070	0.0111	1.0817	0.1067	0.1611
448.3333	-0.4546	0.3089	0.5089	0.4800	1.3776
153.3333	-0.3908	0.2961	-0.9411	0.5644	-0.0615
56.6667	0.0840	0.1183	-1.2978	0.1028	-0.4678
46.6667	-0.3601	0.0000	0.1361	0.0122	-0.4517
36.6667	0.6419	-0.0711	0.2578	-0.1971	-0.1994
45.0000	0.2407	-0.2050	0.2828	-0.3524	-0.1906
31.6667	-0.5958	-0.2311	0.1067	-0.3178	-0.0306
43.3333	-0.1605	-0.2333	-0.1028	-0.2946	0.0122
41.6667	0.5852	-0.2393	-0.1900	-0.2671	0.0856
38.3333	0.9830	-0.1657	0.0389	-0.2111	-0.0367
116.6667	0.7101	-0.1333	0.4678	-0.1650	-0.0878
53.3333	-0.0403	-0.1050	-0.3026	-0.1533	-0.1972
160.0000	0.1357	-0.1356	-1.2062	-0.1511	-0.0772
66.6667	0.7963	-0.0706	0.2600	0.0972	-0.1389
78.3333	1.1103	0.0100	0.0344	-0.0583	0.0378
81.6667	1.2075	-0.1058	-1.3667	-0.0722	-0.1533
131.6667	0.9531	-0.0819	-0.5344	0.0000	-0.0644
75.0000	1.0718	-0.1544	-0.5911	-0.0700	-0.0550
55.0000	0.5376	-0.1228	0.3025	-0.0367	-0.0511
80.0000	-0.1264	-0.1283	0.2225	-0.0972	-0.1639
70.0000	-0.1072	-0.1000	0.2161	-0.1106	-0.0244
185.0000	-0.6544	-0.1083	0.3756	-0.0794	-0.1411
225.0000	-0.3953	0.0528	0.7844	0.2278	-0.0444
395.0000	-0.2236	0.7800	5.8211	1.1104	0.8394
283.3333	0.0833	0.8211	-3.0914	0.9501	1.1383
260.0000	0.0694	0.6072	-1.7914	0.6100	-0.4307
141.6667	-0.0306	0.2578	-0.6961	0.2847	-0.3526
51.6667	-0.1444	-0.0100	0.1442	-0.0875	-0.2544
41.6667	-0.1111	-0.2850	0.2892	-0.3950	-0.0578
55.0000	0.0444	-0.2956	0.4111	-0.4425	-0.0072
41.6667	0.0167	-0.2367	0.0122	-0.3608	0.1000
50.0000	-0.1611	-0.2850	-0.1447	-0.2967	-0.0650
40.0000	-0.2556	-0.2150	-0.0031	-0.2269	-0.0011
51.6667	-0.7217	-0.1850	0.0906	-0.2142	-0.0656
45.0000	-1.4150	-0.1450	0.6550	-0.1639	-0.0194
46.6667	-0.5906	-0.0922	0.1800	-0.1678	-0.1322
31.6667	-0.5583	-0.1333	-0.8211	-0.2028	-0.1667
53.3333	-0.2067	-0.1933	-0.6603	-0.1644	-0.1261
55.0000	0.8869	-0.0611	-0.3953	0.0478	-0.1333
51.6667	1.6842	0.0917	0.0283	0.2400	0.0444
53.3333	1.3539	0.1406	-0.2803	0.1406	-0.0111
173.3333	1.4326	0.0889	-0.3047	0.0050	-0.0056
63.3333	1.0201	0.2844	-0.4978	0.3144	-0.0389
45.0000	0.2572	0.8689	0.1747	0.8922	0.2706
41.6667	-0.8189	0.5978	0.0603	0.7222	0.2172
35.0000	-2.1694	-0.0806	0.2883	-0.1583	0.0567
328.3333	-1.6478	-0.1650	-1.2200	-0.4467	-0.1301
325.0000	-0.6133	0.3233	8.7511	0.2006	0.0429
283.3333	0.0422	0.3000	-5.7100	0.5050	0.2797
213.3333	0.4486	0.1989	-1.3567	0.3328	1.4532
55.0000	-0.7619	0.2999	-0.4401	0.3800	0.1599
43.3333	0.1368	-0.1165	-0.2687	-0.1458	-0.5522
40.0000	0.3187	-0.2789	0.2056	-0.3903	-0.3731
36.6667	-0.2433	-0.3164	0.1831	-0.4206	-0.2831
38.3333	0.0718	-0.3192	-0.0042	-0.3642	-0.0861
40.0000	-0.3340	-0.2689	0.0544	-0.3181	0.0000
36.6667	0.1519	-0.2703	0.1314	-0.2489	0.0444
38.3333	0.3425	-0.2358	0.1597	-0.2097	0.0000
38.3333	-0.2078	-0.1822	0.1194	-0.2064	-0.0222
45.0000	0.0083	-0.1228	0.5272	-0.1561	-0.1728
50.0000	0.6117	-0.0722	0.6356	-0.1272	-0.0811
103.3333	0.7656	-0.1167	-0.4444	-0.1314	-0.2294
43.3333	1.0808	-0.1044	0.0656	-0.0236	-0.0500
156.6667	1.4592	0.0056	0.1933	0.1244	-0.0889
31.6667	1.2036	0.0500	0.0828	0.0489	0.0000
45.0000	1.0308	0.0428	-0.0500	0.0061	0.0000
28.3333	0.3506	-0.0367	0.0300	-0.0961	-0.0306
43.3333	-0.0403	-0.0617	0.1317	-0.1033	-0.0794
31.6667	-0.5347	-0.0944	0.2867	-0.1144	-0.0611
43.3333	-0.2344	-0.0983	0.3897	-0.0889	-0.0389
28.3333	0.0664	-0.0917	0.3242	-0.0850	-0.0500
38.3333	0.0275	-0.0683	0.3356	-0.0972	-0.0511
36.6667	-0.2400	-0.1139	0.2383	-0.0833	-0.0833
33.3333	0.0717	-0.0878	0.1800	-0.0686	-0.0333
38.3333	0.3189	-0.0700	0.2344	-0.0325	-0.0722
31.6667	0.2933	-0.0656	0.2019	-0.1000	-0.0183
43.3333	0.4044	-0.0833	0.2803	0.0000	-0.0917
31.6667	0.5222	-0.0611	0.3256	-0.0833	-0.0542
35.0000	0.2576	-0.0794	0.2928	-0.0167	-0.0458
38.3333	0.0235	-0.0306	0.3350	-0.0443	-0.0400
30.0000	0.0211	-0.0556	0.3400	-0.0290	-0.0225
43.3333	0.4454	-0.0444	0.2317	-0.0367	-0.0275
30.0000	0.4246	-0.0150	0.3172	-0.0778	-0.0667
40.0000	-0.2222	-0.0650	0.0733	-0.0222	-0.0889
115.0000	-0.5097	-0.0267	0.0922	-0.0450	0.0444
153.3333	0.0497	-0.0833	0.1333	-0.0450	0.0111
131.6667	0.7611	-0.0333	0.1789	0.0000	-0.0889
131.6667	0.6651	-0.0667	0.0967	0.0000	-0.0539
156.6667	0.6276	0.0000	0.2297	0.0000	-0.0672
145.0000	0.7328	-0.0917	0.3608	0.0000	-0.0333
171.6667	0.2242	-0.0183	0.3022	0.0000	-0.0333
101.6667	-0.8408	-0.0111	0.4442	-0.0611	-0.0222
70.0000	-0.6200	-0.0667	0.5742	-0.0389	0.0431
245.0000	-0.4094	-0.0222	-0.4244	0.0000	-0.0992
91.6667	-0.5683	0.1417	0.5212	0.1544	0.0300
83.3333	0.1014	0.6194	0.5360	0.9851	0.1442
105.0000	-0.5436	0.9728	-1.2656	0.9454	0.2031
96.6667	-0.1156	0.6185	-1.4771	0.5983	0.1678
73.3333	-0.1056	0.2476	-1.1679	0.2167	0.1086
70.0000	-0.1983	-0.1611	-0.5244	-0.1944	0.0947
35.0000	0.0178	-0.2597	-0.0339	-0.3667	0.1678
43.3333	0.1222	-0.2719	0.1689	-0.3450	0.0489
31.6667	0.0383	-0.2233	0.2144	-0.3222	0.1133
45.0000	0.1144	-0.2233	0.1506	-0.2344	0.0222
31.6667	0.3950	-0.1908	0.2663	-0.1972	0.0578
40.0000	0.2983	-0.1908	0.1326	-0.1733	0.0539
35.0000	-0.1117	-0.1289	0.0933	-0.1111	-0.0244
71.6667	-0.3456	-0.1081	0.1567	-0.1411	-0.0199
608.3333	0.1028	0.0108	1.1583	0.0183	-0.0307
355.0000	0.2200	0.4861	2.2222	0.5261	1.1456
320.0000	0.2371	0.4065	-0.8997	0.4256	-0.1878
295.0000	0.3262	0.5613	-0.7597	0.5635	-0.0961
206.6667	0.5050	0.4867	-0.1922	0.5365	-0.0633
401.6667	0.6253	0.6211	2.4708	0.5889	0.4108
180.0000	0.2931	0.6433	-1.6842	0.7789	1.6131
85.0000	0.1089	0.5278	-0.2461	0.4128	-0.2178
65.0000	-0.1344	0.1167	-0.0878	0.1156	-0.2789
78.3333	-0.2072	0.1189	-0.3410	0.0767	-0.1392
66.6667	-0.1472	0.0778	-1.1974	0.0061	0.1664
163.3333	-0.0167	0.1067	-0.4889	0.0322	-0.0056
151.6667	0.1222	0.2892	-0.9486	0.3694	-0.0767
81.6667	0.1589	0.0708	-0.2031	0.1461	0.0139
176.6667	0.0672	-0.2556	-0.0689	-0.2656	-0.1811
38.3333	0.1033	-0.3028	0.4967	-0.4122	-0.1539
48.3333	0.0294	-0.2606	0.0783	-0.3547	-0.0450
48.3333	-0.0244	-0.2144	0.0711	-0.2919	0.1939
41.6667	0.0244	-0.1933	0.0444	-0.2244	0.0306
48.3333	-0.0394	-0.2094	0.1228	-0.2601	-0.0000
38.3333	-0.7022	-0.1583	0.1072	-0.1815	0.0667
50.0000	-1.0056	-0.1917	0.0994	-0.1461	-0.0778
45.0000	-0.6317	-0.1506	0.5303	-0.1494	-0.0794
41.6667	0.2033	-0.1744	0.3614	-0.1361	-0.1478
48.3333	0.2278	-0.1056	0.1189	-0.1133	-0.0728
38.3333	0.3553	-0.1267	0.1211	-0.0856	-0.0222
50.0000	0.8092	-0.0322	0.1578	0.1733	-0.0778
38.3333	1.2428	0.1994	0.0889	0.2989	0.0889
48.3333	1.3592	0.1622	-0.3328	0.1317	-0.0333
50.0000	1.0536	0.1594	-0.2494	0.0061	0.0694
38.3333	0.5311	0.1944	-0.2489	0.0222	0.0650
48.3333	0.0931	0.3544	-0.1233	0.2611	0.0456
50.0000	-0.7319	0.1500	-0.1239	0.2500	0.1522
40.0000	-1.3239	-0.1194	0.0183	-0.2133	-0.0244
46.6667	-0.5333	-0.1933	0.0122	-0.1978	0.0015
156.6667	-0.4194	-0.1894	0.0574	-0.1711	0.0229
221.6667	-0.0844	-0.0467	0.2215	0.0667	-0.1472
78.3333	-0.0369	0.2678	0.0822	0.4778	0.1511
63.3333	0.8103	0.3561	-0.1550	0.4844	0.1950
200.0000	0.5939	0.1500	-0.1222	0.2283	-0.1422
196.6667	-0.6381	0.0300	-0.0900	-0.0100	0.0500
43.3333	-0.0636	-0.1272	0.3553	-0.1935	0.0111
45.0000	0.3011	-0.1767	0.3342	-0.2649	0.0222
35.0000	-0.9921	-0.1689	0.1889	-0.2078	0.0722
48.3333	-0.9246	-0.1600	-0.0878	-0.2015	-0.1000
46.6667	0.3800	-0.1350	0.0611	-0.1585	-0.1011
33.3333	0.2033	-0.1583	0.1356	-0.1444	-0.1244
105.0000	0.1900	-0.1039	0.1833	-0.1194	0.0717
65.0000	0.2656	-0.1194	0.6428	-0.0850	0.0539
43.3333	0.2706	-0.0056	0.2417	-0.0433	0.0000
41.6667	0.5467	-0.0778	0.0522	-0.0800	0.0000
33.3333	0.7539	-0.0650	0.1264	0.0000	-0.0122
45.0000	0.5767	-0.0672	0.1403	0.0000	-0.0489
41.6667	0.7511	-0.0111	-0.0056	0.0000	0.0611
33.3333	0.4000	0.0111	-0.1383	0.0550	-0.0550
43.3333	-0.8297	0.0611	-0.0506	0.0350	0.0122
45.0000	-0.9469	-0.0489	0.2100	-0.0400	0.0092
33.3333	-0.8875	-0.0456	-0.1257	-0.1056	-0.0508
41.6667	-0.1936	-0.0817	-0.2515	-0.1167	-0.0478
33.3333	0.1400	-0.0806	-0.0478	-0.1194	0.0056
221.6667	0.0051	-0.0944	0.0872	-0.0906	-0.0933
66.6667	-0.1079	0.3944	8.2881	0.4000	0.0550
93.3333	0.0050	0.6444	-4.7303	0.9333	0.2150
276.6667	0.1136	0.5044	-2.4667	0.5656	0.1456
45.0000	0.1986	0.1017	-1.2708	-0.0083	0.0544
35.0000	0.0367	-0.2189	-0.6086	-0.2289	-0.2422
40.0000	0.1111	-0.2333	-0.2633	-0.2822	-0.1789
31.6667	0.1306	-0.1942	0.0467	-0.2735	-0.1594
41.6667	0.0306	-0.2064	0.1494	-0.1937	-0.2367
33.3333	-0.0918	-0.1622	0.2033	-0.1411	-0.1606
38.3333	0.2562	-0.1633	0.2790	-0.1622	-0.0722
98.3333	-0.1344	-0.1339	0.8265	-0.1361	-0.0319
60.0000	-0.4383	-0.1372	0.4044	-0.0906	0.0769
155.0000	0.1078	-0.0056	-0.1022	-0.0611	0.1061
28.3333	0.0933	-0.0850	0.2119	-0.0722	0.0700
43.3333	0.5753	0.0050	-0.0697	-0.0667	-0.0644
31.6667	0.6286	0.0300	-0.0700	-0.0443	0.0456
41.6667	0.3767	-0.0250	0.0000	-0.0596	-0.0567
41.6667	0.1900	-0.0150	0.0100	-0.0061	0.0444
31.6667	-0.0083	-0.0111	0.0894	-0.0833	-0.0278
41.6667	-0.2433	-0.0722	-0.0844	-0.0367	-0.0222
33.3333	-0.6908	-0.0722	0.0872	-0.0700	0.0500
40.0000	-0.4608	-0.0567	0.1478	-0.0111	-0.0556
40.0000	-0.3511	-0.1019	0.1233	-0.0583	0.0111
30.0000	-0.1800	-0.0958	0.2322	-0.0417	-0.0139
41.6667	-0.0400	0.0000	0.1978	-0.0833	-0.0417
38.3333	0.0150	-0.0650	0.0722	-0.0056	0.0000
33.3333	0.1422	-0.0250	0.1419	0.0000	0.0000
43.3333	0.0428	-0.0778	0.1781	-0.0856	0.0000
30.0000	-0.1478	-0.0222	0.2267	-0.0244	0.0000
41.6667	-0.5164	-0.0500	0.0278	-0.0222	-0.0200
41.6667	-0.6781	-0.0500	-0.2089	-0.0056	0.0200
33.3333	-0.5667	-0.0306	-0.1967	-0.0997	-0.1350
41.6667	-0.6647	-0.0794	-0.1994	-0.1069	-0.1272
30.0000	-0.6431	-0.0333	-0.1717	-0.0444	0.1278
40.0000	-1.1433	-0.0667	-0.1433	-0.0667	-0.0222
31.6667	-1.6606	-0.0400	-0.1353	-0.0994	0.0667
43.3333	-0.5394	-0.0500	-0.1919	-0.0550	-0.0833
31.6667	0.5744	-0.0111	0.0906	0.1350	0.0500
41.6667	1.4388	0.1350	0.0122	0.2425	-0.0500
41.6667	0.9090	0.1506	-0.3499	0.1225	0.0750
33.3333	0.3325	0.1811	-0.1812	0.0856	0.0083
43.3333	0.1519	0.0844	-0.4478	0.0244	0.0200
28.3333	-0.0794	0.1636	-0.0808	0.1383	0.0700
43.3333	-0.4914	0.1797	-0.2158	0.2072	0.0067
41.6667	-1.7047	-0.0444	-0.2017	-0.1006	0.0489
33.3333	-1.9833	-0.1183	-0.5211	-0.2006	-0.0322
40.0000	-0.7072	-0.1506	-0.1883	-0.1644	-0.0233
33.3333	-0.5267	-0.1256	-0.0989	-0.1556	-0.0700
41.6667	-0.1317	-0.1394	-0.1700	-0.1411	-0.0200
28.3333	-0.2194	-0.1317	-0.0750	-0.1017	-0.0278
41.6667	0.0194	-0.0722	-0.1444	-0.1083	-0.0889
33.3333	0.1778	-0.0861	-0.1156	-0.0833	-0.0528
43.3333	0.2144	-0.1039	-0.1039	-0.0800	-0.0917
41.6667	0.3589	-0.0556	-0.1211	-0.0878	-0.0244
30.0000	0.7919	-0.0556	-0.0100	-0.0833	-0.1040
40.0000	1.0069	-0.1064	-0.1808	-0.1061	-0.1937
33.3333	0.1133	-0.1036	-0.0092	-0.1039	-0.0500
43.3333	-0.1921	-0.0650	-0.0200	-0.0489	0.0944
28.3333	1.0960	-0.0472	0.1517	-0.0600	0.0278
41.6667	0.3350	-0.0778	0.1294	-0.0311	-0.0444
31.6667	0.8321	-0.0444	0.0356	-0.0889	-0.0111
