Time	Pump	Flow	Press	Temp1	Temp2	Vib
89	1860.7450	90.1784	12.1524	121.7622	108.5928	0.2575
90	1849.3956	89.7734	12.1703	122.0108	108.2631	0.2576
91	1866.8689	89.6110	12.1159	121.6366	108.5142	0.3236
92	1857.0188	89.2555	12.0709	121.5933	108.7350	0.4325
93	1857.6381	89.7136	12.0624	121.7186	108.6994	0.5475
94	1861.2295	89.3381	12.0296	121.7216	109.2621	0.5871
95	1851.9689	88.9125	12.0261	121.5833	109.1076	0.4956
96	1851.5682	89.1370	11.8911	121.4575	108.6446	0.3880
97	1851.3687	88.2867	11.9742	120.9870	108.6837	0.1810
98	1843.7278	88.3375	11.8684	120.8038	108.6168	0.0865
99	1836.6215	88.3805	11.8546	120.8224	108.7828	-0.0172
100	1835.4137	88.7812	11.8689	120.2421	108.2356	0.1022
101	1836.8817	88.0439	11.8004	119.9356	108.4273	0.2382
102	1847.5040	88.5119	11.7272	120.1116	108.0759	0.3646
103	1837.1632	88.3827	11.7253	119.8352	108.5415	0.4456
104	1834.6425	88.8214	11.6833	119.4107	108.4730	0.4773
105	1830.2014	88.3509	11.6807	119.1191	108.5138	0.4764
106	1832.6686	87.4121	11.7405	118.0874	107.8865	0.1554
107	1829.2157	87.7834	11.7923	118.0158	106.9960	0.1064
108	1827.5934	87.5198	11.7138	118.5969	106.6782	0.0611
109	1831.8622	87.5464	11.7445	118.2300	106.5582	0.0430
110	1837.1807	88.0787	11.7276	118.3200	106.3013	0.1333
111	1850.3415	88.7170	11.6645	117.9839	106.2504	0.2564
112	1845.6359	88.2205	11.7076	117.5081	106.5923	0.3033
113	1862.1701	87.8851	11.7948	117.6454	107.1116	0.4394
114	1858.0510	88.4606	11.7373	117.6396	106.8839	0.3974
115	1867.2759	88.5633	11.7583	117.7695	107.1430	0.3122
116	1859.7997	88.6227	11.8142	117.5803	107.1330	0.2031
117	1875.9381	88.2810	11.8347	117.0364	107.1595	0.1002
118	1883.9278	88.8109	11.7508	117.1529	106.7623	0.0033
119	1882.1970	89.1735	11.7546	117.0719	106.6746	0.0731
120	1894.3168	89.6596	11.8560	116.7554	106.4268	0.1512
121	1889.7765	89.7723	11.8967	116.9290	106.0891	0.3221
122	1902.4402	89.9615	12.0330	117.8451	106.0262	0.5691
123	1909.4208	89.8526	11.9772	117.5393	105.6338	0.6504
124	1906.9410	90.4916	11.9455	118.0125	105.5630	0.6013
125	1914.6459	90.6297	11.9846	117.9884	105.8379	0.4860
126	1904.9216	91.0403	12.0140	118.3963	105.5127	0.4547
127	1890.8257	91.5529	12.0867	118.9574	105.6336	0.3132
128	1914.4480	91.6343	12.1549	118.5553	105.6227	0.2483
129	1912.3767	91.6856	12.1431	118.8635	106.0690	0.2212
130	1918.2695	91.3250	12.1726	119.3576	106.4274	0.3746
131	1921.9015	91.7937	12.1229	119.3689	106.0651	0.4765
132	1927.0023	91.9599	12.1775	119.7005	106.4259	0.5340
133	1927.8976	92.5166	12.2596	120.5003	106.5217	0.6339
134	1925.4049	92.2181	12.2836	120.8971	106.9547	0.5664
135	1933.8070	91.8893	12.2524	121.0556	107.7188	0.5004
136	1940.2434	92.2387	12.2709	121.1763	108.2486	0.4091
137	1930.1568	92.9105	12.2664	121.7325	108.5622	0.3711
138	1931.0464	92.9126	12.3326	121.5307	108.9210	0.3340
139	1947.7365	93.0882	12.3541	121.9767	109.0850	0.2952
140	1955.3152	93.1791	12.3462	121.9560	109.1544	0.3713
141	1954.7599	92.6274	12.3777	122.5284	109.5917	0.5337
142	1952.1082	93.3544	12.3330	122.8919	109.8897	0.6492
143	1949.0073	93.0885	12.2629	122.8143	109.9280	0.7388
144	1942.4945	94.0644	12.2463	123.3654	110.0679	0.7150
145	1951.2007	93.9423	12.2438	123.5382	110.1396	0.6310
146	1954.7290	94.0717	12.3568	123.6787	110.4623	0.4343
147	1953.7163	94.0007	12.3242	123.6250	110.8646	0.3164
148	1946.8537	93.9347	12.3942	123.9825	111.3144	0.2368
149	1938.1703	93.6564	12.5192	124.1886	111.2367	0.3077
150	1934.1943	93.5879	12.5685	124.4218	111.2388	0.4494
151	1912.4286	93.7061	12.5453	124.4516	111.3736	0.5893
152	1890.5189	92.6841	12.5906	124.0594	111.1875	0.6640
153	1883.4403	92.9558	12.4198	124.0549	111.6308	0.7138
154	1876.8982	92.1286	12.3834	124.3127	111.4377	0.6270
155	1857.7646	91.3965	12.2801	124.1935	111.1927	0.5233
156	1844.8407	90.8500	12.1570	124.0806	111.6617	0.2993
157	1829.4005	90.8614	12.1996	123.6869	111.4691	0.1300
158	1805.2089	89.7149	12.1720	123.4320	111.1252	0.0428
159	1803.8825	89.7720	12.2327	123.1640	111.4690	0.0363
160	1777.3027	88.2314	12.1629	123.1294	111.4618	0.1101
161	1768.4033	87.6866	12.0690	122.4048	111.3219	0.2013
162	1757.0257	86.8532	11.8637	122.3620	111.1165	0.4110
163	1743.9371	85.5519	11.8615	121.8168	111.1616	0.3978
164	1738.7818	84.1580	11.8267	121.3491	111.5296	0.4092
165	1732.4634	83.6318	11.6687	121.1322	111.1504	0.3398
166	1724.8430	83.5580	11.5044	120.7675	110.9354	0.2110
167	1707.9357	83.0660	11.4078	119.9276	111.0135	0.0860
168	1717.2410	82.9236	11.3512	119.5337	110.0589	-0.0721
169	1693.4105	82.9162	11.3144	118.3979	109.4843	-0.1946
170	1682.2192	82.2323	11.1838	117.6561	109.1090	-0.1552
171	1676.8576	81.1724	11.1774	116.2934	108.5196	0.0972
172	1665.1459	80.7618	11.1164	115.5964	107.6186	0.2565
173	1672.3459	80.6687	10.9764	115.0205	107.2636	0.3008
174	1669.8905	80.5691	10.9390	114.0193	106.2109	0.2892
175	1671.1530	80.2151	10.8207	113.5792	105.1309	0.1839
176	1665.5518	80.0129	10.7859	112.8467	103.9773	-0.0110
177	1668.1836	79.9086	10.6722	111.6639	103.4162	-0.0414
178	1658.1009	80.7065	10.5843	110.9752	102.9504	-0.1311
179	1647.2976	80.3016	10.6470	110.8011	102.2405	-0.1708
180	1639.5708	80.7126	10.5364	110.5246	101.3793	0.0150
181	1638.3995	80.6857	10.5797	110.0381	100.5330	0.1728
182	1630.8776	80.1362	10.6862	109.5380	100.2248	0.2337
183	1637.5051	79.6325	10.6221	109.0161	100.2720	0.2002
184	1627.7938	79.6354	10.6432	108.5098	99.3217	0.2024
185	1620.2254	79.6502	10.5992	108.4553	99.1286	0.1320
186	1626.9841	78.8969	10.6459	107.8903	98.3871	0.0829
187	1622.7484	78.9185	10.5042	107.4743	98.1108	0.0596
188	1613.6488	78.6998	10.5450	107.0007	97.7653	0.0224
189	1610.7169	78.6231	10.5736	106.8786	97.3327	-0.0578
190	1599.0104	78.1302	10.5760	106.9308	96.8615	0.0208
191	1597.1320	77.9777	10.5050	106.5309	96.3090	0.1106
192	1582.4419	77.9561	10.4443	106.5166	96.2253	0.1939
193	1594.3492	77.9830	10.4513	105.9892	96.1189	0.2989
194	1589.4199	78.0219	10.4762	106.0847	95.9756	0.2107
195	1582.5548	78.0730	10.4141	106.0247	96.0720	0.1192
196	1588.7495	76.9257	10.4291	105.6958	96.1167	-0.0282
197	1573.0578	76.6592	10.3803	104.9725	96.3845	-0.1285
198	1569.4480	76.5241	10.3939	104.8521	95.9618	-0.1922
199	1576.8169	76.4337	10.2933	104.2359	95.4970	-0.2053
200	1582.5847	75.6911	10.2917	103.8395	95.0715	-0.1475
201	1589.9334	76.1049	10.1318	103.4308	94.7179	-0.0338
202	1592.4469	76.2615	10.1208	103.1896	94.5104	0.2194
203	1598.4796	76.2487	10.1558	103.2059	94.2144	0.2956
204	1595.6133	76.2145	10.1110	102.4795	93.7819	0.2543
205	1595.3493	76.6084	10.1457	102.4151	93.6055	0.1630
206	1595.2788	76.6952	10.2138	102.0528	93.5919	-0.0577
207	1577.7122	77.4834	10.1632	102.2942	93.1307	-0.1893
208	1588.1379	77.2220	10.1257	102.4350	92.3533	-0.2205
209	1605.4084	77.5617	10.1754	102.8679	92.4741	-0.2542
210	1611.3512	77.5412	10.2071	102.6339	91.9034	-0.1298
211	1610.5401	76.5880	10.2303	102.0839	92.4711	-0.0576
212	1608.9409	77.0414	10.2302	102.0095	92.0565	0.0554
213	1599.1534	77.3322	10.1961	102.0700	91.8261	0.1675
214	1593.7690	77.4599	10.2177	102.1363	91.6248	0.1765
215	1588.9786	77.3686	10.1969	102.0520	92.0098	0.0877
216	1576.2990	76.8882	10.3530	102.5723	92.1524	-0.0601
217	1591.1266	76.2902	10.3205	102.7697	92.1376	-0.1123
218	1599.9000	76.2913	10.3098	103.1968	91.9124	-0.2353
219	1593.2737	77.1895	10.3277	103.0231	92.7432	-0.2659
220	1583.6400	76.6231	10.3186	103.1990	93.1168	-0.2477
221	1574.2748	76.9088	10.2538	103.3177	93.1787	-0.0142
222	1577.3504	76.6904	10.2194	103.4285	93.2149	0.1657
223	1560.1284	75.8015	10.2306	103.5814	93.0871	0.2861
224	1548.9132	76.0734	10.3469	103.2345	92.9273	0.2279
225	1550.5771	75.4234	10.2688	103.4477	93.2986	0.2077
226	1559.3629	75.4864	10.1854	103.4560	93.3778	0.0257
227	1569.1440	75.3026	10.2289	103.4336	93.7505	-0.0505
228	1569.8540	76.1136	10.1845	103.2773	94.1156	-0.0966
229	1573.7704	76.6263	10.1970	102.5348	93.9805	-0.1173
230	1578.2188	77.1243	10.2957	103.1168	94.3164	0.0288
231	1575.8119	76.4406	10.3013	103.5670	94.4091	0.1486
232	1571.7533	76.0161	10.2144	103.4392	94.1744	0.3509
233	1573.3644	75.9705	10.1863	102.9300	93.7378	0.3921
234	1575.9702	76.4115	10.1663	102.9480	93.9441	0.3596
235	1565.8385	76.6580	10.2327	102.9445	93.3824	0.2860
236	1575.2831	75.9067	10.2426	102.6867	92.7928	0.1210
237	1584.2180	75.8438	10.1154	102.4034	92.5547	-0.0746
238	1567.6131	75.9912	10.1452	102.2281	92.6716	-0.2509
239	1580.3159	75.9078	10.0870	102.1617	92.5021	-0.1853
240	1586.6474	75.4976	10.1083	101.5528	92.3879	-0.0718
241	1580.2239	75.8391	10.0859	101.0079	92.4223	0.0733
242	1570.9826	75.6908	10.0859	101.3066	92.5916	0.1970
243	1558.5689	75.1734	9.9945	101.4685	92.0054	0.2751
244	1544.1237	74.9050	10.0443	101.4446	91.3182	0.2084
245	1541.7681	74.3019	10.0114	101.6930	91.1420	0.0873
246	1541.6814	74.4077	10.0079	101.1573	91.2589	-0.0210
247	1540.8526	74.6708	9.8473	101.0269	91.3403	-0.1134
248	1521.4701	74.7075	9.8495	100.9692	91.2900	-0.1593
249	1511.6966	74.8226	9.8700	100.8004	90.9449	-0.2134
250	1506.3942	74.2540	9.8592	101.0031	91.1520	-0.1355
251	1509.6776	73.4443	9.8711	100.4942	91.0449	-0.1056
252	1502.7214	73.3813	9.8789	100.1703	91.1086	0.0489
253	1508.4711	73.2420	9.8152	100.2632	91.3436	0.1652
254	1510.1948	73.1407	9.7983	99.4954	91.0294	0.2732
255	1513.4759	72.6388	9.8394	99.1453	90.4390	0.1748
256	1510.7202	72.8493	9.8167	98.6589	89.9341	0.0319
257	1506.1538	73.1313	9.8030	98.1587	89.7898	-0.1124
258	1505.6241	73.0272	9.7738	98.1143	89.4551	-0.1948
259	1499.4413	72.4818	9.8210	97.7918	89.3416	-0.2406
260	1519.5047	72.8767	9.7631	98.2354	89.3440	-0.1639
261	1519.0082	72.5828	9.6735	98.1708	89.1606	-0.0204
262	1513.6844	72.7052	9.7609	97.8861	89.1531	0.0861
263	1519.4910	72.7316	9.7666	97.2378	89.0463	0.1871
264	1516.1854	72.5982	9.7971	97.1891	88.8270	0.1284
265	1539.0502	72.8238	9.8175	97.3439	88.4586	0.0657
266	1544.5476	73.0961	9.8443	97.3398	88.6843	-0.0774
267	1539.0724	72.8532	9.7521	97.7584	88.8553	-0.1495
268	1532.5231	72.7324	9.7301	97.8442	88.2461	-0.2264
269	1529.5057	73.1884	9.7461	97.6705	88.1076	-0.1868
270	1539.4647	73.2553	9.8072	97.2468	88.0259	-0.0939
271	1525.8783	73.4562	9.8745	97.0467	87.2905	0.0389
272	1528.9709	72.9323	9.8202	97.2163	86.9388	0.2038
273	1521.4098	73.4433	9.8233	96.5747	87.2855	0.1728
274	1527.5256	72.5959	9.8201	96.7888	87.2268	0.2350
275	1532.7953	72.4154	9.6849	97.4368	87.1451	0.1894
276	1534.5685	72.9479	9.6235	97.3509	87.6644	0.0169
277	1540.1130	73.3783	9.7214	96.8586	88.1789	-0.1081
278	1529.2351	73.9960	9.7282	96.8059	87.8342	-0.2054
279	1516.1888	74.2892	9.8213	96.5894	87.9222	-0.3162
280	1508.9652	74.1009	9.8039	96.7061	87.2191	-0.2251
281	1495.2845	73.7785	9.7483	96.8371	87.7331	-0.0339
282	1494.1369	73.0840	9.8244	96.7390	87.6168	0.1179
283	1502.4426	72.8760	9.8984	97.7604	87.8441	0.2099
284	1505.3186	72.8417	9.8602	98.1431	88.2135	0.1782
285	1519.7749	72.9931	9.7881	98.3484	87.9592	-0.0276
286	1525.6192	73.4603	9.7657	98.1218	87.7825	0.0128
287	1523.1715	73.5490	9.8083	98.0048	88.3929	-0.1563
288	1529.8932	73.1598	9.8061	98.3077	87.9800	-0.2059
289	1544.7521	72.7083	9.7900	98.0918	88.0629	-0.1928
290	1538.0285	74.0213	9.7056	98.0671	87.2550	-0.1926
291	1545.9678	73.8153	9.8420	98.1865	87.3317	-0.0647
292	1555.2315	74.6740	9.8028	97.8574	87.7270	0.1119
293	1549.7933	74.2238	9.8487	98.4070	87.3588	0.2651
294	1543.2384	74.3553	9.8518	98.5749	87.2147	0.2674
295	1549.4454	74.2833	9.8536	98.7585	87.3733	0.0587
296	1558.5519	74.3466	9.8812	98.0098	87.8991	-0.0271
297	1552.5998	74.6809	10.0206	98.0319	88.3324	-0.0392
298	1572.1556	74.6239	9.9944	98.2391	88.5417	-0.2423
299	1571.4476	74.8815	10.0321	98.8400	88.4928	-0.1958
300	1579.3626	74.8086	9.9344	99.1151	88.5599	-0.1417
301	1582.9385	74.7066	9.9584	98.7763	88.3688	0.0664
302	1580.5722	75.2109	9.9558	98.6619	88.5780	0.1915
303	1596.8820	76.0050	9.9712	98.7567	88.7734	0.1893
304	1603.3301	75.4695	9.9558	99.0463	89.2053	0.2090
305	1613.8908	75.5911	9.9614	99.2225	89.1341	0.1728
306	1605.5638	76.7008	9.9586	99.0212	88.8993	0.0619
307	1598.0376	77.4820	10.0221	98.9163	88.8977	-0.0953
308	1592.9313	77.6917	10.1448	99.3038	89.2955	-0.1413
309	1588.9755	76.8385	10.2052	99.3096	89.2243	-0.1689
310	1599.0820	76.7980	10.3086	99.8862	88.6305	-0.0320
311	1597.1233	76.6875	10.2135	100.3816	89.2068	0.0120
312	1608.8487	76.2359	10.3019	100.8083	89.3121	0.0766
313	1608.7988	76.5319	10.2076	101.2840	89.2170	0.2556
314	1611.4323	76.2368	10.2337	101.4389	89.4446	0.2187
315	1605.9999	76.1347	10.2234	101.6184	89.4472	0.1218
316	1620.8173	76.2315	10.1987	101.4107	89.6776	0.0256
317	1622.4414	77.0810	10.1381	101.3752	90.0725	-0.0857
318	1623.6909	77.4469	10.1863	101.5177	90.4990	-0.0977
319	1621.6463	77.1430	10.1713	101.5321	90.5577	-0.1710
320	1623.5487	77.0062	10.0968	102.0347	90.7340	-0.1322
321	1622.0755	77.3147	10.0527	101.9034	91.1224	-0.0549
322	1626.6433	78.0362	10.1555	101.6326	90.7577	0.2171
323	1645.8495	78.6881	10.1992	101.7274	91.1800	0.2943
324	1657.0885	78.8456	10.2362	101.6097	91.8602	0.3452
325	1664.5668	78.7773	10.2864	101.7904	91.3999	0.2943
326	1666.5766	79.3142	10.3598	101.8181	92.0787	0.0703
327	1668.8053	79.3665	10.4738	102.3138	91.9528	-0.1025
328	1666.3420	78.8515	10.4885	102.1541	91.8834	-0.0820
329	1672.8151	79.0684	10.5364	103.0443	92.0041	-0.1563
330	1680.2991	79.7781	10.5525	103.3691	91.9323	-0.1009
331	1682.3872	80.0045	10.5693	103.9121	92.0168	-0.0155
332	1675.8230	80.3252	10.5553	104.0563	91.9019	0.0953
333	1696.9611	80.2411	10.7082	104.2575	92.8787	0.1777
334	1695.8887	80.2148	10.7416	104.5181	93.1072	0.2009
335	1693.8375	81.4023	10.7660	105.1737	92.6006	0.1302
336	1693.6558	81.6947	10.6719	105.8568	92.6484	-0.0025
337	1687.7937	81.5744	10.8106	106.5183	93.0944	0.0220
338	1681.1042	80.8685	10.8280	106.5883	94.0566	-0.1788
339	1695.5540	80.5468	10.8627	107.0700	94.4419	-0.0945
340	1711.9700	80.9478	10.8476	107.3520	95.1471	-0.0227
341	1732.2694	80.0516	10.8772	107.0733	95.6576	0.0460
342	1727.3474	81.1246	10.8113	107.7138	96.0162	0.1660
343	1730.8954	81.0142	10.7984	107.8001	95.9682	0.2710
344	1716.9073	81.6940	10.8159	107.4322	96.2693	0.2389
345	1717.6719	81.6148	10.7933	107.5976	96.3378	0.1849
346	1707.6095	82.5304	10.7820	107.8325	96.0852	0.1032
347	1717.9249	82.2548	10.8393	107.2837	96.2115	0.0663
348	1719.0581	82.0761	10.9285	107.4928	95.8653	-0.0844
349	1707.7109	82.9448	10.9104	107.7610	96.2939	-0.0740
350	1700.4800	82.2469	10.9285	108.1575	96.4721	-0.0126
351	1698.2164	81.7513	10.8868	108.5149	96.9203	0.1212
352	1703.4720	81.6168	10.8515	108.8677	97.7177	0.2233
353	1709.0305	81.9828	10.8941	109.0636	98.2278	0.2452
354	1723.2062	81.8947	10.9318	109.1713	98.4617	0.3092
355	1729.9943	81.6115	10.8378	109.1512	98.5610	0.2969
356	1736.6816	81.5060	10.8681	109.0710	98.1839	0.1402
357	1742.2511	81.7630	10.9418	108.6782	97.6306	-0.0195
358	1750.0819	82.3966	10.9924	108.3164	97.1448	-0.1526
359	1739.0084	82.6978	11.1006	108.7427	96.9350	-0.0608
360	1739.5516	82.4369	11.0342	109.1467	96.6427	-0.0264
361	1734.9819	82.7725	11.0751	108.9831	97.6179	0.1125
362	1731.6190	82.6185	11.0304	109.1009	97.6563	0.3186
363	1725.2816	82.4782	11.0792	109.4436	97.3034	0.3966
364	1726.5522	82.3545	11.0334	109.5407	97.1807	0.3785
365	1716.1897	82.4350	11.0154	109.7136	97.8319	0.1753
366	1713.1011	82.7343	10.9934	109.6100	97.5838	0.0298
367	1727.1591	82.4827	11.0168	109.7498	98.0113	-0.0806
368	1723.2575	82.8838	10.9933	109.3077	98.6943	-0.0376
369	1721.6600	83.1390	11.0622	109.3024	98.4500	-0.1405
370	1728.1112	83.8952	11.0643	109.7514	98.4077	-0.0393
371	1716.0187	83.7376	11.0770	110.1298	99.1189	0.1387
372	1712.3455	83.3177	11.1647	110.2940	99.2260	0.2342
373	1712.1325	82.5062	11.1275	110.7540	99.8767	0.4277
374	1698.9343	81.6143	11.0670	110.8209	99.6929	0.3058
375	1691.4413	81.8057	11.0592	110.3611	99.6571	0.2915
376	1686.5421	81.6889	11.0003	110.5793	99.5982	0.1005
377	1691.8044	81.1950	10.9004	110.7653	99.8145	-0.0956
378	1682.6361	81.5355	10.8678	110.6861	99.6389	-0.1975
379	1673.8048	81.2837	10.9054	110.8948	99.4800	-0.1813
380	1682.2329	81.1663	10.9074	110.8464	99.5644	-0.0591
381	1681.1025	81.4414	10.8781	110.2205	100.0191	0.0431
382	1683.1334	81.5509	10.8845	110.0477	100.3719	0.1454
383	1684.3485	81.9880	10.9699	109.5457	99.7539	0.3241
384	1688.6982	81.6607	10.9846	109.9552	99.4527	0.3037
385	1691.8543	81.4367	10.9407	109.6260	99.8882	0.2049
386	1703.4024	81.9881	10.9157	109.2176	99.3153	0.0543
387	1711.6276	82.0035	10.9431	108.8261	99.4638	0.0053
388	1694.3522	81.8868	10.9839	108.8490	99.0532	-0.0120
389	1702.0096	82.1198	10.9029	109.1386	98.0594	-0.0572
390	1704.6207	81.7692	10.9204	109.2712	97.6259	0.0004
391	1701.3119	81.9445	10.9382	109.3266	97.5355	0.1625
392	1699.6720	82.3177	10.9018	109.9199	97.2354	0.2224
393	1713.3916	81.6805	10.9373	109.6740	97.6787	0.3398
394	1712.4919	81.8185	10.9440	109.3288	98.1182	0.2841
395	1721.8745	81.6859	10.9531	109.2339	98.9873	0.2671
396	1731.0572	82.3573	10.9878	108.6353	98.8267	0.0748
397	1715.2157	82.8254	11.1113	109.0555	98.5284	-0.0659
398	1716.8659	82.0944	11.1708	109.7111	98.6005	-0.0629
399	1710.8642	82.5158	11.0629	110.0168	98.8964	-0.0788
400	1705.5552	82.0630	11.1366	110.7110	99.2477	-0.0036
401	1695.9023	81.5950	11.1572	111.1455	99.1112	0.1587
402	1696.5690	81.5361	11.0728	111.2198	98.7649	0.2428
403	1686.5544	81.4537	10.9926	111.6131	99.6470	0.3635
404	1684.3542	81.3941	10.9496	111.2940	100.0412	0.3940
405	1687.5373	81.1700	10.9041	110.8781	100.2461	0.3105
406	1698.0236	81.2061	10.8553	110.9807	100.2645	0.2429
407	1695.5226	80.9700	10.8990	110.1737	100.3635	0.0524
408	1689.7705	80.6162	10.8789	110.3068	100.6856	-0.1018
409	1686.1785	80.8988	10.8690	109.9441	100.1635	-0.1450
410	1678.0781	80.9181	10.8054	109.3357	100.1481	-0.0283
411	1670.7672	80.9774	10.7490	109.0774	99.8307	0.1192
412	1681.0748	80.4084	10.6958	108.5800	99.2768	0.1986
413	1680.0242	80.4088	10.7605	108.6731	98.9226	0.2839
414	1688.9811	80.6616	10.8181	108.4666	98.1098	0.2811
415	1682.5350	80.9877	10.8068	108.1422	98.3781	0.2187
416	1679.7731	80.8417	10.8007	108.3769	98.1525	0.1386
417	1682.8301	80.7157	10.8128	108.3666	97.7868	-0.0066
418	1695.8394	80.6882	10.8106	108.1906	97.4166	-0.1637
