Time	Oil	Rate	Invest	GDP	Stock
78	65.9848	0.0340	69.0739	58.9902	796.6461
79	64.4714	0.0000	68.1665	58.5182	801.8430
80	65.9264	0.0000	68.1133	58.3186	808.3087
81	65.7240	0.0000	67.3492	57.6192	811.6220
82	69.1926	0.0000	69.1495	57.3858	807.3116
83	69.2015	0.0476	69.1504	57.1316	795.2699
84	71.3567	0.0000	69.8467	57.9438	781.9654
85	71.8389	0.0362	71.9786	57.7912	778.5622
86	75.5597	0.2822	72.0504	58.5145	774.0696
87	78.8194	0.5203	71.0514	60.2568	767.7565
88	79.5224	0.5880	71.0870	60.1934	762.3367
89	76.5114	0.9532	71.8505	61.7367	753.3234
90	79.3464	1.1808	70.6869	62.0703	765.3718
91	77.6682	1.2999	69.6991	62.8249	769.1428
92	78.6843	1.4306	69.0447	61.8018	774.8476
93	75.3185	1.5415	67.3019	61.1346	773.7966
94	74.0905	1.5737	65.4561	60.2055	774.9450
95	70.7138	1.6091	65.1163	59.5605	774.7649
96	69.7991	1.7844	64.3980	58.5850	772.8874
97	69.2915	1.5659	63.2536	57.7815	776.0655
98	69.9329	1.5100	63.9555	57.2764	780.0971
99	65.8528	1.2267	61.6394	56.5954	782.1312
100	64.1022	1.1090	61.4931	56.2168	781.2893
101	62.9454	0.7548	61.6552	54.6043	780.4940
102	65.5826	0.4169	62.7256	54.0033	780.6458
103	62.8895	0.1408	63.3682	53.1325	773.8561
104	60.3938	0.0000	65.6587	51.8243	768.8421
105	58.2406	0.0000	67.2995	52.9903	765.0971
106	55.7546	0.0000	69.4403	54.2867	767.5484
107	54.3135	0.0000	70.1799	56.0636	787.9217
108	54.3827	0.0000	71.5030	56.1525	811.6456
109	54.9677	0.0000	70.6904	57.1628	823.5892
110	56.5170	0.0000	72.2915	58.3772	832.5025
111	55.9768	0.0000	72.9164	59.2089	843.7286
112	55.8768	0.0000	73.2743	59.9075	858.8500
113	54.5430	0.0000	73.2506	60.4514	871.6448
114	56.0996	0.0000	72.1403	60.2146	884.5665
115	57.9780	0.0000	71.8117	59.7120	891.9000
116	57.3784	0.0000	71.7533	59.8137	883.4990
117	58.5451	0.0000	72.5780	59.6198	883.2209
118	61.7253	0.0000	72.9753	59.8844	878.6627
119	62.7582	0.0000	73.5717	60.7502	873.1544
120	63.1858	0.0000	73.7813	62.9634	865.2168
121	65.0258	0.0000	73.9518	62.5938	870.4716
122	65.6059	0.0000	74.7107	63.6790	868.3572
123	64.9712	0.0000	76.1797	65.1317	871.6151
124	67.3552	0.0000	75.9930	64.5507	884.3394
125	65.4606	0.0457	76.0268	65.2287	880.2636
126	65.1128	0.0000	75.2671	65.0197	889.0123
127	65.7801	0.0000	74.8263	65.1452	893.6079
128	66.1635	0.0984	74.6450	66.3189	897.4018
129	65.0935	0.1109	73.3600	66.9739	899.7963
130	67.3496	0.1203	73.7168	66.9574	904.9742
131	65.9052	0.0000	73.0765	66.9029	903.9397
132	68.8195	0.0000	74.0646	65.8206	911.2047
133	71.5051	0.0000	74.3999	66.4746	901.0967
134	71.4119	0.0000	73.1834	66.2523	889.7654
135	68.6699	0.0000	73.7569	66.0756	887.3257
136	68.3374	0.0000	73.7021	65.8318	882.6230
137	68.5804	0.0000	73.9300	65.1376	880.1388
138	69.6537	0.0000	72.7074	66.3671	874.8328
139	70.4639	0.1924	72.3892	65.6582	873.7422
140	69.7023	0.0775	72.8007	64.3661	873.4256
141	71.3974	0.0939	72.4021	64.5423	869.8326
142	70.8132	0.0000	73.1789	64.2315	861.8994
143	70.0920	0.0000	73.5674	64.6103	863.3707
144	68.4483	0.0000	73.3123	63.4007	860.1838
145	70.1024	0.0000	73.2242	63.1320	852.2203
146	68.6359	0.1462	73.3410	63.6099	848.7813
147	67.3328	0.1030	72.7648	64.2048	849.1641
148	67.5147	0.0000	72.1483	64.6439	856.2534
149	67.0444	0.0000	71.9994	65.3542	864.9330
150	68.3396	0.0393	71.1246	65.4451	872.5235
151	67.6243	0.2431	70.3373	65.8674	875.3511
152	68.4332	0.1878	71.1070	65.2283	882.6478
153	66.7365	0.1198	70.4181	65.6115	882.0059
154	67.3177	0.0000	69.0309	65.3285	880.8140
155	66.5572	0.0000	69.0692	63.4932	880.5179
156	69.0517	0.0000	68.7666	62.2404	873.3064
157	70.2696	0.0145	68.6114	61.2476	858.2553
158	73.9385	0.0000	69.4183	61.2441	843.9223
159	73.2454	0.0314	69.8026	61.1589	830.3438
160	73.1517	0.0000	70.7475	61.2447	817.5272
161	74.2424	0.1724	70.9378	61.6768	814.2117
162	74.3925	0.2615	70.2479	62.4949	806.9328
163	73.4799	0.3780	69.6026	62.2948	809.0979
164	70.9990	0.2670	68.2680	62.0453	811.7849
165	69.5771	0.3964	69.4748	61.8571	818.4985
166	68.1293	0.4196	68.6093	62.3048	823.4695
167	69.1702	0.3310	67.4133	61.7909	832.6839
168	71.5370	0.0000	66.7664	60.1713	832.7019
169	74.6903	0.0000	67.1379	60.0167	822.4410
170	74.6542	0.2423	67.4141	59.2516	806.7427
171	74.8080	0.5917	67.7382	59.2941	790.5437
172	74.1992	0.4026	66.0980	59.6071	784.3479
173	72.5166	0.4586	66.7256	58.4555	779.7399
174	74.0448	0.5742	65.2831	57.8019	777.3374
175	74.0144	0.3356	65.8193	55.9282	767.7492
176	71.7173	0.7449	65.2207	55.2782	748.2951
177	70.5989	0.9133	65.1417	54.9197	744.2876
178	71.8743	0.8701	63.8158	54.6875	738.6480
179	73.0281	0.6910	63.4411	54.2120	733.7384
180	71.6889	0.7683	63.2246	53.8122	725.3493
181	72.5288	0.9168	62.5498	53.8658	719.5968
182	71.1348	0.6731	61.3779	54.3983	715.3935
183	73.0690	0.6594	61.1787	53.1653	714.0393
184	72.5905	0.5532	60.8420	52.6817	709.2828
185	72.8096	0.5592	61.3204	52.2747	697.7239
186	71.6329	0.8222	60.9517	51.9410	692.4145
187	69.9258	0.6752	60.3552	50.2488	684.3687
188	71.6708	0.4746	60.3868	49.2720	681.8328
189	69.7558	0.4718	61.3938	49.5637	668.1888
190	71.1879	0.3809	61.3258	48.6265	665.0041
191	72.9777	0.3876	61.2146	48.6765	658.6159
192	71.5349	0.4959	60.4973	49.4123	651.1832
193	71.9798	0.4323	60.3420	48.7718	648.6657
194	74.5863	0.2366	59.9840	48.9647	644.5006
195	75.3315	0.2777	60.3953	48.2993	633.2341
196	77.2211	0.3254	60.7411	47.9112	625.1336
197	78.1993	0.2964	61.2782	48.3368	615.6721
198	79.6710	0.2944	61.0198	47.8350	610.0360
199	84.4860	0.5874	61.5488	47.5091	599.5167
200	83.1093	1.5033	61.5348	47.5187	579.7130
201	78.8541	1.7619	59.3151	48.4915	570.2497
202	78.5119	1.8175	58.2049	48.5115	569.8960
203	79.3741	1.9990	55.7113	47.7608	575.8196
204	77.3351	2.4209	54.7005	46.8909	574.8366
205	76.1981	2.5639	52.7393	44.6816	575.3383
206	77.3005	2.5170	49.3075	44.0547	566.8104
207	74.4293	2.3946	47.5881	42.9379	558.4326
208	73.0840	2.5398	47.4886	41.5089	549.4220
209	72.5270	2.7052	47.3236	38.8545	542.5088
210	72.1567	2.6784	46.2921	37.4854	526.9941
211	72.7849	2.6284	45.2609	36.5954	517.2975
212	71.5857	2.4822	44.1911	35.8768	503.4545
213	71.9991	2.4582	43.8099	35.5756	493.0664
214	70.2532	2.3886	44.1230	33.6172	486.2374
215	73.5182	2.0972	45.2228	31.6589	473.4176
216	71.6890	2.2633	45.8733	30.4461	450.2193
217	72.8255	1.8124	46.0776	30.7851	433.5981
218	78.4314	1.7068	47.0424	30.7801	422.0035
219	71.1548	2.2341	47.1082	30.2293	396.1436
220	71.3409	2.0609	47.3481	30.5939	392.5413
221	75.4436	1.7903	47.6848	31.4740	394.6666
222	77.6511	1.6441	47.5544	31.9903	390.9779
223	76.0987	1.7819	49.0490	31.3896	384.2126
224	76.5514	1.9186	47.4996	31.0536	376.8747
225	74.4199	1.9742	47.9954	31.1544	376.1384
226	72.5795	2.1767	47.5004	31.7191	379.4671
227	68.7536	2.1035	46.5579	31.5094	385.5346
228	72.1482	1.5610	46.6121	30.9124	399.4904
229	74.3678	1.4948	46.6955	30.3701	393.2162
230	72.6346	1.6144	49.0369	30.6285	391.4728
231	73.3127	1.6826	48.2572	32.0123	391.4964
232	70.6273	1.6257	48.1580	32.4455	395.7048
233	69.8117	1.7981	47.2948	32.1723	401.6708
234	70.3130	1.9844	46.9871	32.6382	406.3912
235	74.0890	1.9447	47.8647	30.2748	419.2917
236	75.4772	1.8102	48.3615	29.8388	409.6784
237	73.2479	1.8980	48.1650	29.4903	394.2970
238	69.4567	1.8272	47.1264	29.7809	386.1950
239	67.6430	1.7481	46.6498	30.9047	395.6427
240	68.7862	1.5144	49.0260	29.9310	401.2488
241	66.3107	1.4177	48.0663	30.3591	409.3708
242	69.2244	1.1401	47.7342	30.8332	416.2783
243	65.8350	0.8022	48.9983	31.2385	417.5565
244	71.3237	0.5654	50.2457	31.2928	422.7518
245	70.6834	0.6328	51.7634	32.0850	418.1320
246	72.1820	0.6536	52.9936	33.0606	416.7196
247	72.0594	0.5489	53.2554	33.6554	420.6101
248	74.2939	0.6216	55.2851	34.2667	426.0412
249	69.0073	0.7153	55.4822	33.7938	424.3727
250	67.2990	0.8098	55.1877	34.7832	431.5080
251	68.3440	0.5225	54.4324	35.6352	439.6943
252	67.0730	0.0846	54.3467	35.8912	456.2431
253	67.6554	0.0000	55.4949	36.9751	467.4223
254	65.7314	0.0000	55.7609	37.0771	479.8596
255	66.8691	0.0000	57.1646	38.5279	486.8739
256	66.2517	0.0000	57.8778	38.9225	505.7193
257	67.5018	0.0000	58.3578	40.4188	524.9913
258	70.1069	0.0000	58.2543	40.7373	535.6576
259	70.9141	0.0000	58.6667	41.1810	537.1165
260	68.3964	0.0000	60.4318	41.0297	535.7742
261	67.3744	0.1198	61.3479	42.3491	540.3307
262	68.1931	0.0000	61.6286	43.6650	553.4875
263	69.6054	0.0481	60.6538	45.2088	559.8687
264	70.0528	0.0000	59.5622	45.4089	571.7521
265	70.0146	0.0338	58.4159	44.5248	582.1205
266	69.2556	0.1831	59.5003	45.0881	588.2387
267	69.0095	0.1707	59.4348	44.6783	596.5606
268	68.9161	0.2340	60.7617	45.5848	603.4216
269	68.8471	0.0336	61.0595	45.6963	607.1977
270	69.7410	0.0736	61.2696	45.6829	609.3762
271	69.1845	0.2974	61.0354	45.5621	605.3443
272	69.7938	0.2468	60.8930	44.8379	606.6934
273	69.4154	0.3360	61.5010	44.9195	601.6037
274	71.6313	0.2683	61.8996	44.1758	601.8785
275	67.0682	0.3094	62.7109	44.8237	591.9361
276	62.3302	0.1143	61.9607	44.9456	600.8705
277	62.6330	0.0000	63.8774	44.9907	619.3438
278	61.9288	0.0000	64.7755	46.6517	630.3441
279	60.9414	0.0000	64.8444	47.1931	641.9854
280	62.2305	0.0000	65.1619	48.1299	658.0017
281	65.9652	0.0000	64.6113	48.3835	666.9124
282	63.3006	0.0000	64.5230	50.3061	669.0024
283	63.1946	0.0000	62.6298	50.6049	684.6002
284	63.6904	0.0000	64.9925	51.0833	696.1679
285	64.7959	0.0000	64.3944	51.3082	697.8471
286	65.0292	0.0000	64.5402	52.4389	708.3526
287	66.4773	0.0000	65.3804	51.5874	718.3759
288	65.9337	0.0249	65.2495	52.1559	724.3251
289	62.8800	0.0000	66.2491	52.3417	727.1033
290	63.8674	0.0000	66.0211	52.1517	734.8324
291	63.6223	0.0000	66.4061	52.7160	740.6861
292	66.6588	0.0000	67.6770	53.6303	743.0602
293	69.5080	0.0000	67.4384	54.2126	743.8233
294	71.2291	0.0000	68.3680	54.5381	738.7001
295	71.6462	0.3036	66.8860	54.9572	733.3334
296	73.5010	0.4305	65.8377	54.6577	727.9948
297	74.6560	0.3955	65.1559	55.8041	725.1019
298	75.1642	0.5289	65.9251	56.1800	722.4292
299	74.3865	0.8883	66.8592	56.3544	723.9923
300	76.3037	1.0013	65.2546	56.2438	720.5135
301	75.1760	1.1404	63.9099	55.5635	712.5812
302	76.5354	1.4900	63.5918	54.5592	708.6944
303	76.0175	1.6986	63.2684	53.6173	696.2895
304	74.9391	1.7064	61.2302	52.8689	691.9781
305	75.7764	1.7011	60.9294	51.8230	685.6592
306	73.8916	1.8060	60.8467	50.9975	677.5224
307	72.3961	2.0099	60.2881	50.4284	671.6181
308	72.8518	1.6745	60.0298	49.4651	668.4322
309	73.8177	1.7284	60.0457	49.0710	654.5104
310	75.1776	1.6145	59.8770	48.0913	641.9209
311	75.5667	1.5077	60.5074	47.6841	626.0425
312	73.9441	1.7344	59.4864	48.2362	614.0626
313	71.4999	1.7703	58.7650	46.8302	614.1923
314	70.1410	1.8965	58.4662	47.4425	620.7471
315	69.8282	1.8758	58.0460	48.0563	622.0298
316	70.1625	1.6783	57.8315	47.8230	630.2771
317	68.8566	1.6710	58.7349	47.8616	633.4836
318	71.5077	1.6259	58.8867	46.7214	640.1883
319	73.2786	1.4191	59.1380	47.2255	632.0077
320	72.6709	1.3982	59.2016	46.6411	624.5822
321	73.3136	1.3244	60.8726	47.3103	616.1480
322	74.2532	1.3079	62.7389	46.6566	616.0989
323	74.0950	1.2637	61.6368	47.3577	612.2496
324	72.0191	1.3272	62.1024	47.9604	606.7817
325	72.7403	1.2391	62.3410	47.0078	607.6239
326	72.6008	1.1718	64.1078	46.7952	606.0236
327	71.2830	0.8794	62.9635	47.5447	606.1101
328	70.8236	0.8663	64.3714	46.8464	611.3703
329	71.4982	0.8203	65.9656	47.3638	615.5601
330	72.1940	0.8036	68.5379	47.7002	615.3576
331	73.0410	0.9321	68.2885	48.8511	613.5369
332	72.0547	1.1250	68.5434	49.8532	617.5156
333	69.5684	1.1661	70.3004	51.8593	622.9204
334	72.3849	1.1793	70.3615	53.0891	643.7992
335	70.4726	0.9045	68.7164	53.6737	658.1033
336	70.9826	0.8184	67.8241	56.2608	677.2937
337	72.4314	1.0433	68.5909	57.3004	691.8530
338	71.7787	0.8738	67.9123	56.3486	710.3233
339	72.7498	0.8846	66.6826	57.0699	721.1429
340	72.2005	1.0001	66.6893	56.3274	730.7349
341	70.7468	0.9737	67.7819	56.6884	727.4465
342	67.7596	0.6795	68.5470	56.7059	731.4127
343	69.8676	0.5402	68.8706	56.9114	746.4557
344	67.2181	0.3013	70.9012	57.0705	750.6983
345	67.0648	0.0000	70.6312	57.5916	754.9839
346	64.2555	0.0000	72.9200	57.5124	766.8886
347	62.5710	0.0000	75.0975	59.1868	782.9111
348	63.4555	0.0000	75.5017	60.4353	797.0116
349	64.1534	0.0000	77.0374	62.1002	817.8264
350	66.8863	0.0000	79.6263	63.6108	827.8542
351	66.9555	0.0000	79.0078	65.2421	842.2815
352	63.7215	0.0000	79.9690	66.2551	850.0398
353	60.0181	0.0000	80.8544	66.6016	873.0627
354	57.9884	0.0000	81.3333	68.3803	894.8351
355	58.5807	0.0000	80.7820	69.4319	922.7876
356	57.9171	0.0000	81.6347	69.3202	948.8795
357	57.8909	0.0000	81.3277	70.5588	969.5614
358	59.2266	0.0000	82.5652	70.8399	985.7872
359	59.3129	0.0000	80.8387	70.8347	1002.6955
360	59.4368	0.0000	79.5989	70.7917	998.6459
361	59.2454	0.0000	79.1563	71.8609	1004.3064
362	59.7377	0.0000	79.2060	72.6186	1010.8278
363	59.8553	0.0000	80.8580	73.2113	1017.5810
364	62.7004	0.0000	80.5349	73.0428	1026.0487
365	62.0252	0.0000	80.5742	72.5663	1021.6413
366	60.9561	0.0019	80.3334	72.7147	1025.5331
367	62.3452	0.0000	80.7702	73.2929	1028.8941
368	61.1652	0.0000	80.5084	73.1460	1027.5044
369	59.7744	0.0000	80.9398	73.3109	1024.2390
370	62.2431	0.0000	80.4984	73.1663	1026.7370
371	64.8363	0.0000	80.7157	73.6958	1031.1891
372	64.7698	0.0000	79.7969	74.0661	1029.1100
373	64.2798	0.0000	82.1892	74.4214	1030.1357
374	66.4829	0.0000	81.7103	74.9538	1026.6941
375	67.0703	0.0000	80.5869	75.5813	1026.1048
376	69.9028	0.0000	79.7941	75.7016	1024.2894
377	70.5499	0.1240	78.3004	75.3374	1020.0538
378	69.1602	0.3216	78.7233	74.9245	1015.2653
379	68.9479	0.3600	78.5365	75.0655	1014.8264
380	68.6756	0.3373	77.6311	74.3223	1010.9237
381	70.1418	0.3377	78.0173	74.2053	1008.1164
382	72.4083	0.3082	77.3586	73.0517	1004.5333
383	74.2188	0.3596	75.5431	72.9011	984.2437
384	75.1114	0.8147	75.5285	71.5512	974.0329
385	76.7819	0.9599	76.0953	70.1632	957.8397
386	77.3978	1.2238	73.6034	70.5580	938.4695
387	76.4292	1.1292	73.9805	68.9259	922.3462
388	75.0648	1.5199	73.5512	68.6232	906.6637
389	75.7480	1.6203	73.8923	68.9020	895.8196
390	75.7961	1.5577	72.3105	68.0000	890.0415
391	74.7041	1.7322	70.7053	67.9354	882.4449
392	72.9070	1.8573	69.2695	66.7851	882.1255
393	72.3304	1.6533	67.8851	67.3410	880.6116
394	73.1517	1.6131	66.3153	65.6087	883.7169
395	68.8613	1.4953	65.1299	63.8192	875.7011
396	69.1778	1.2260	66.5341	60.8116	869.5972
397	70.0919	1.1741	66.6865	59.7064	853.1944
398	68.6486	0.9216	66.9299	58.5943	833.8059
399	69.7916	0.8982	67.8137	57.7114	814.0388
400	70.8220	0.7136	66.9968	57.7919	801.6366
401	71.5609	0.5496	66.3429	58.2594	788.1990
402	72.2630	0.6725	67.8294	57.4336	780.1497
403	72.1483	0.8035	67.5941	56.6641	774.0543
404	73.9425	0.8419	68.3398	57.0021	764.8297
405	73.1079	0.7205	68.9587	56.6425	754.6885
406	74.3368	0.7131	70.1992	56.1877	749.6990
407	76.7495	0.6319	68.6308	56.7006	734.8555
408	76.8282	1.1095	68.8036	56.2813	727.0873
409	77.3603	0.7018	68.8493	56.0055	721.7286
410	74.3145	0.7265	69.4087	57.1105	713.0895
411	73.5575	0.7792	68.3950	56.7501	718.6288
412	74.0886	0.8983	68.9817	56.2528	726.3191
413	76.4803	1.0947	69.5551	57.2145	725.8216
414	74.4942	1.2992	69.3235	58.4913	724.1239
415	70.9348	1.2944	69.0487	58.8007	732.1515
416	68.6955	1.1001	69.6080	58.8921	749.5019
417	68.5465	1.0315	68.1024	59.5370	762.1619
418	68.3145	0.9094	69.1621	58.4939	777.5732
419	66.8610	0.7221	67.9146	58.1458	781.6697
420	64.7358	0.5231	68.6255	57.4601	789.1162
421	65.0432	0.3245	67.7503	57.2420	789.5528
422	62.1813	0.0000	68.8543	58.1046	795.7815
423	63.8754	0.0000	69.5426	57.5589	802.9409
424	64.4594	0.0000	69.7086	57.7129	809.2661
425	67.2657	0.0000	71.7160	59.1518	806.5723
426	66.7553	0.0000	72.5890	60.1755	800.6433
427	66.7464	0.0000	72.5052	60.0879	812.2598
428	68.5090	0.0000	73.2421	60.9913	815.3037
429	69.0809	0.0000	73.3347	60.7357	819.2201
430	67.7860	0.0000	71.9122	61.8875	818.3411
431	66.1583	0.0000	70.7406	61.1890	830.5078
432	65.7458	0.0000	69.7744	60.8875	833.9135
433	66.5131	0.0000	69.2616	60.5611	833.8001
434	64.9981	0.0905	70.2043	60.4244	831.8498
435	64.8449	0.0000	70.6060	60.8953	832.0044
436	65.2578	0.0000	71.5844	60.9512	836.8328
437	63.4057	0.0000	69.6985	60.8452	832.3264
438	64.9115	0.0000	69.4402	61.5460	835.5016
439	65.3890	0.0000	68.2159	62.0235	836.3975
440	65.6484	0.0000	68.7580	61.8035	839.2019
441	63.0942	0.0000	69.0603	61.8821	847.9782
442	64.8346	0.0000	68.8421	61.9705	854.4700
443	62.8802	0.0000	69.8695	61.4282	852.8260
444	62.7286	0.0000	70.4785	60.8252	855.5036
445	65.2541	0.0000	70.3267	62.0951	852.4890
446	67.3122	0.0000	69.7282	63.1037	854.1888
447	66.6156	0.0000	69.0567	62.3189	850.7334
448	66.2980	0.0000	69.1653	62.0231	854.8850
449	64.4331	0.0000	69.6117	61.5274	848.6433
450	65.6651	0.0000	69.3942	60.3460	853.5553
451	66.4662	0.0000	69.6622	60.8529	847.7645
452	66.3145	0.0000	69.7084	61.0472	840.2736
453	65.4006	0.0112	69.7074	61.3796	842.4282
454	66.1967	0.0000	70.7466	61.2665	846.0489
455	65.2566	0.0000	70.7955	60.8573	841.8779
456	65.0907	0.0000	69.0633	60.6731	847.0543
457	65.5254	0.0000	67.5835	60.5859	844.4356
458	67.2210	0.0000	68.1924	59.5701	844.2407
459	66.2141	0.1557	68.2123	58.9382	831.7156
460	65.1810	0.0561	66.9233	58.9942	824.6124
461	66.5733	0.0678	67.4965	59.5391	818.8641
462	64.3059	0.0448	67.0731	59.0235	814.0664
463	63.8729	0.0000	68.4291	57.8963	817.9400
464	60.9076	0.0000	67.6698	58.3768	820.0362
465	60.3143	0.0000	68.9104	58.4467	829.9089
466	59.0478	0.0000	66.3579	57.3752	837.3209
467	62.0667	0.0000	67.5415	56.5235	834.2281
468	62.2856	0.0000	65.4015	56.1662	828.2598
469	62.9932	0.0000	65.8661	55.6902	821.3070
470	64.6586	0.0000	66.7643	55.5510	812.7288
471	65.6769	0.0000	66.8185	55.6354	807.0717
472	67.6988	0.0000	66.9493	55.4303	793.4380
473	68.6505	0.0793	67.6633	55.1729	782.0266
474	67.3710	0.2317	68.3756	55.8516	773.5027
475	69.4820	0.1467	65.5367	56.0263	771.4801
476	70.9251	0.0811	67.2406	55.0206	765.1786
477	71.9927	0.2923	66.9914	54.7738	749.6787
478	72.8072	0.3841	65.7932	55.0912	739.4326
479	73.3652	0.7405	64.8767	53.8976	733.1295
480	73.4173	0.8886	64.7296	54.4738	729.1556
481	73.3388	0.9265	63.2152	53.5470	722.4537
482	71.8950	1.0560	62.5928	53.2415	711.7398
483	69.2119	0.9334	61.5017	51.4828	708.5134
484	70.6427	1.0261	61.3786	50.5264	710.1829
485	72.9598	0.8284	61.5258	49.5974	699.4635
486	74.4591	1.0898	61.4614	50.4593	681.5206
487	76.6529	1.0497	60.3470	49.4408	673.8648
488	78.3083	1.4727	60.6990	48.2817	654.6977
489	75.3665	1.5765	58.8600	48.1564	630.9648
490	73.8675	1.4904	56.9891	49.5898	625.0114
491	74.9737	1.4900	56.2063	48.9140	626.2805
492	73.8029	1.5048	54.5838	47.4362	622.9880
493	74.2392	1.1018	54.1633	47.1622	613.7957
494	73.5289	1.5244	54.2457	45.5398	609.6189
495	71.9916	1.5465	54.7562	43.9041	602.8529
496	71.8538	1.3422	54.7482	43.2345	590.0181
497	71.2963	1.2031	56.0264	42.0814	581.6048
498	71.0689	1.2206	56.4570	42.6666	575.9250
499	72.0531	1.1096	56.6478	43.2325	577.7367
500	75.0145	1.0650	56.1633	43.0582	575.8818
501	74.5709	1.1496	57.6188	42.6985	569.9751
502	73.9500	1.1190	57.5811	43.3096	554.9571
503	71.2492	1.4646	56.9105	43.4917	554.5517
504	71.0646	1.4278	55.3742	43.5195	558.1152
505	71.5926	1.2367	55.7935	42.7160	559.5422
506	70.1033	1.0454	57.4920	42.0239	563.6484
507	72.5581	0.9732	56.6287	42.0526	567.3243
508	71.2232	0.8222	57.4628	42.7607	562.4573
509	67.3446	0.8129	57.7075	42.3062	565.8544
510	65.8491	0.4808	58.7171	42.7045	572.2342
511	64.6277	0.2463	59.5286	42.4656	579.5946
512	69.6261	0.0000	60.2150	42.0774	582.9860
513	72.9189	0.0000	61.6292	43.4090	573.5269
514	72.5578	0.0839	63.2002	43.9861	572.2049
515	69.5426	0.0000	63.7932	44.6822	571.4395
